Body Posture,DateTime

Normal, 2025-04-14 04:17:45
Normal, 2025-04-14 04:17:46
Surrender, 2025-04-14 04:17:46
Surrender, 2025-04-14 04:17:47
Surrender, 2025-04-14 04:17:47
Surrender, 2025-04-14 04:17:47
Surrender, 2025-04-14 04:17:47
Surrender, 2025-04-14 04:17:47
Normal, 2025-04-14 04:17:48
Normal, 2025-04-14 04:17:48
Normal, 2025-04-14 04:17:48
Normal, 2025-04-14 04:17:48
Normal, 2025-04-14 04:17:49
Normal, 2025-04-14 04:17:49
Normal, 2025-04-14 04:17:49
Normal, 2025-04-14 04:17:49
Normal, 2025-04-14 04:17:50
Normal, 2025-04-14 04:17:50
Normal, 2025-04-14 04:17:50
Normal, 2025-04-14 04:17:50
Normal, 2025-04-14 04:17:50
Normal, 2025-04-14 04:17:51
Normal, 2025-04-14 04:17:51
Normal, 2025-04-14 04:17:51
Normal, 2025-04-14 04:17:51
Normal, 2025-04-14 04:17:51
Normal, 2025-04-14 04:17:52
Normal, 2025-04-14 04:17:52
Normal, 2025-04-14 04:17:52
Normal, 2025-04-14 04:17:52
Normal, 2025-04-14 04:17:52
Normal, 2025-04-14 04:17:53
Normal, 2025-04-14 04:17:53
Normal, 2025-04-14 04:17:53
Normal, 2025-04-14 04:17:53
Normal, 2025-04-14 04:17:53
Normal, 2025-04-14 04:17:54
Normal, 2025-04-14 04:17:54
Normal, 2025-04-14 04:17:54
Normal, 2025-04-14 04:17:54
Normal, 2025-04-14 04:17:54
Normal, 2025-04-14 04:17:54
Normal, 2025-04-14 04:17:55
Normal, 2025-04-14 04:17:55
Normal, 2025-04-14 04:17:55
Normal, 2025-04-14 04:17:55
Normal, 2025-04-14 04:17:55
Normal, 2025-04-14 04:17:55
Normal, 2025-04-14 04:17:56
Normal, 2025-04-14 04:17:56
Normal, 2025-04-14 04:17:56
Normal, 2025-04-14 04:17:56
Normal, 2025-04-14 04:17:56
Normal, 2025-04-14 04:17:57
Normal, 2025-04-14 04:17:57
Surrender, 2025-04-14 04:17:57
Surrender, 2025-04-14 04:17:57
Surrender, 2025-04-14 04:17:57
Surrender, 2025-04-14 04:17:58
Surrender, 2025-04-14 04:17:58
Surrender, 2025-04-14 04:17:58
Surrender, 2025-04-14 04:17:58
Surrender, 2025-04-14 04:17:59
Surrender, 2025-04-14 04:17:59
Surrender, 2025-04-14 04:17:59
Surrender, 2025-04-14 04:17:59
Surrender, 2025-04-14 04:18:00
Surrender, 2025-04-14 04:18:00
Surrender, 2025-04-14 04:18:00
Surrender, 2025-04-14 04:18:00
Surrender, 2025-04-14 04:18:01
Surrender, 2025-04-14 04:18:01
Surrender, 2025-04-14 04:18:01
Surrender, 2025-04-14 04:18:01
Surrender, 2025-04-14 04:18:02
Surrender, 2025-04-14 04:18:02
Surrender, 2025-04-14 04:18:02
Surrender, 2025-04-14 04:18:02
Surrender, 2025-04-14 04:18:03
Surrender, 2025-04-14 04:18:03
Surrender, 2025-04-14 04:18:03
Surrender, 2025-04-14 04:18:03
Surrender, 2025-04-14 04:18:03
Surrender, 2025-04-14 04:18:04
Surrender, 2025-04-14 04:18:04
Surrender, 2025-04-14 04:18:04
Surrender, 2025-04-14 04:18:04
Surrender, 2025-04-14 04:18:05
Surrender, 2025-04-14 04:18:05
Surrender, 2025-04-14 04:18:05
Surrender, 2025-04-14 04:18:05
Surrender, 2025-04-14 04:18:06
Surrender, 2025-04-14 04:18:06
Surrender, 2025-04-14 04:18:06
Surrender, 2025-04-14 04:18:06
